videoId,title,description,thumbnail,text
gkklrVa8amY,The Most Futuristic Tech Of 2025.....,"Dive into the future with us at MWC Barcelona! We've uncovered tech that'll blow your mind, from earbuds that redefine audio to a ...",https://i.ytimg.com/vi/gkklrVa8amY/hqdefault.jpg,"The Most Futuristic Tech Of 2025..... Dive into the future with us at MWC Barcelona! We've uncovered tech that'll blow your mind, from earbuds that redefine audio to a ..."
qxRxcaPoYpQ,Top 3 most expensive and laxury mobile phone #tech #gadgets #short,"I'm going to tell you about three very expensive mobile phones that not everyone can afford, and they look very cool. Looking for ...",https://i.ytimg.com/vi/qxRxcaPoYpQ/hqdefault.jpg,"Top 3 most expensive and laxury mobile phone #tech #gadgets #short I'm going to tell you about three very expensive mobile phones that not everyone can afford, and they look very cool. Looking for ..."
IOVKA9eBzkw,New invention #scienceproject #inventions #technology #tech #shorts,scienceproject #schoolproject #technology #inventions #gadgets #ideas #science.,https://i.ytimg.com/vi/IOVKA9eBzkw/hqdefault.jpg,New invention #scienceproject #inventions #technology #tech #shorts scienceproject #schoolproject #technology #inventions #gadgets #ideas #science.
4wZwXhoxRIA,15 Tech Gadgets I Use Every Day #shorts #justicebuys #tech,,https://i.ytimg.com/vi/4wZwXhoxRIA/hqdefault.jpg,15 Tech Gadgets I Use Every Day #shorts #justicebuys #tech 
xiv6IE915nc,30 year old IBM ThinkPad puts modern #tech to shame #pc #technology #shorts,This 30 year old IBM ThinkPad shows how important build quality is when it comes to making a laptop last. Back in 1994 this thick ...,https://i.ytimg.com/vi/xiv6IE915nc/hqdefault.jpg,30 year old IBM ThinkPad puts modern #tech to shame #pc #technology #shorts This 30 year old IBM ThinkPad shows how important build quality is when it comes to making a laptop last. Back in 1994 this thick ...
KArch4rjU_0,USB in USB #charger #technology #electronic #funny,Maybe stop plugging things into each other to see when they fail!!!,https://i.ytimg.com/vi/KArch4rjU_0/hqdefault.jpg,USB in USB #charger #technology #electronic #funny Maybe stop plugging things into each other to see when they fail!!!
82jYblR16QM,4 times tech SURVIVED disaster,"shorts #tech #smartphone #gadgets I spend a LOT of time trying to make my videos as concise, polished and useful as possible ...",https://i.ytimg.com/vi/82jYblR16QM/hqdefault.jpg,"4 times tech SURVIVED disaster shorts #tech #smartphone #gadgets I spend a LOT of time trying to make my videos as concise, polished and useful as possible ..."
MBpIM7Ks-Tc,Cleaning a Laptop that&#39;s GROSS and overheating (HUGE Alienware FAIL) #pc #tech #technology #shorts,Disgusting Alienware laptop is overheating and needs a deep cleaning. A high performance computer like this Alienware M15 R7 ...,https://i.ytimg.com/vi/MBpIM7Ks-Tc/hqdefault.jpg,Cleaning a Laptop that&#39;s GROSS and overheating (HUGE Alienware FAIL) #pc #tech #technology #shorts Disgusting Alienware laptop is overheating and needs a deep cleaning. A high performance computer like this Alienware M15 R7 ...
5fKkXFresYI,5 Times Tech has SAVED LIVES!,"shorts #technology I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you ...",https://i.ytimg.com/vi/5fKkXFresYI/hqdefault.jpg,"5 Times Tech has SAVED LIVES! shorts #technology I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you ..."
VnZG9Zi73wI,Others Technologia Vs TheLastOne 🤯💀,Others Technologia Vs TheLastOne #usashorts #technology #technologia #technologie #usacontent #skulledit #newedit ...,https://i.ytimg.com/vi/VnZG9Zi73wI/hqdefault.jpg,Others Technologia Vs TheLastOne 🤯💀 Others Technologia Vs TheLastOne #usashorts #technology #technologia #technologie #usacontent #skulledit #newedit ...
